Number Of Vehicles Stopped - Horizontal,Total Waiting Time - Horizontal,Carbon Emissions Released - Horizontal,Number of Vehicles Predicted at Traffic Light - Horizontal,Number of Cars - Horizontal,Number of Buses - Horizontal,Number of Trucks - Horizontal,Number of Motorcycles - Horizontal,Number of Bicycles - Horizontal,Number Of Vehicles Stopped - Vertical,Total Waiting Time - Vertical,Carbon Emissions Released - Vertical,Number of Vehicles Predicted at Traffic Light - Vertical,Number of Cars - Vertical,Number of Buses - Vertical,Number of Trucks - Vertical,Number of Motorcycles - Vertical,Number of Bicycles - Vertical,Traffic Phase
0,0.0,22918.42267556161,4,4,1,1,1,0,2,19.0,3853.333333333333,2,2,0,0,2,0,1

0,0.0,17159.71717633855,4,3,1,1,1,0,2,21.0,3853.333333333333,2,2,0,0,2,0,0

0,0.0,24788.95539535019,4,3,1,1,1,1,3,24.0,6431.584740295494,1,2,0,0,2,0,0

0,0.0,17994.958874856795,4,3,1,1,1,1,3,27.0,7255.936370812578,0,2,0,0,2,0,0

0,0.0,24513.70758415197,3,4,1,1,1,1,4,31.0,7706.711211029071,0,2,0,0,2,0,0

0,0.0,5539.493640234128,2,4,1,1,1,1,4,35.0,7706.712264488098,0,2,0,0,2,0,0

1,1.0,14165.70057683157,2,4,1,1,1,1,3,22.0,6478.055555555555,0,2,0,0,1,0,0

2,3.0,24005.064632648726,2,5,1,1,1,1,2,10.0,6912.68266842266,0,2,0,0,1,0,0

2,5.0,18944.54368674944,1,5,1,1,1,1,1,5.0,9966.948034890753,2,3,0,0,1,0,0

3,8.0,9030.2246088367,0,5,1,1,1,1,0,0.0,5588.391081444718,2,2,0,0,1,0,0

4,12.0,22584.27863481023,0,5,2,1,1,1,0,0.0,8231.144125811916,3,2,0,0,1,0,0

5,17.0,21701.873061112183,0,5,2,1,1,1,0,0.0,8494.685331412826,2,1,0,0,1,0,0

6,23.0,32699.74947208304,0,5,2,1,1,1,0,0.0,1734.8165778891648,2,1,0,0,1,0,0

5,27.0,24346.379102952564,0,5,2,1,1,1,0,0.0,0.0,1,1,0,0,0,0,1

7,34.0,20664.737774519515,0,5,2,1,2,1,0,0.0,0.0,1,1,0,0,0,0,1

7,41.0,18989.848338673866,0,5,2,1,2,1,0,0.0,0.0,1,1,0,0,0,1,1

8,49.0,28225.894167090948,0,5,2,1,2,1,0,0.0,0.0,1,1,0,0,0,1,1

8,57.0,28022.96633290372,0,6,2,1,2,1,0,0.0,2229.0938745700373,0,2,0,0,0,1,1

9,66.0,31251.426162157062,0,6,2,1,2,1,0,0.0,2576.4968970871973,0,2,0,0,0,1,1

8,61.0,29473.944644732677,0,6,2,1,1,1,1,1.0,4772.530918034454,0,2,0,0,0,1,1

8,56.0,29880.896760227,0,6,2,1,1,1,1,2.0,5480.518340716333,0,2,0,1,0,1,1

8,52.0,31496.988335671922,0,6,2,1,1,1,1,3.0,7020.461942930277,0,2,0,1,0,1,1

8,48.0,27892.08081364975,0,5,2,1,1,1,1,4.0,9649.847548086742,0,2,0,1,0,1,1

7,43.0,29934.8654931576,0,5,2,1,1,1,1,5.0,8429.320496643111,0,3,0,1,0,1,1

6,39.0,27520.066432808137,0,4,2,1,1,1,1,6.0,5474.021904609808,0,3,0,1,0,1,1

5,33.0,30084.864714034422,0,4,2,1,1,1,1,7.0,5061.873972650315,1,3,0,1,0,1,1

4,27.0,33274.79746899218,0,4,2,1,1,1,1,8.0,10168.816397829689,2,4,0,1,0,1,1

3,21.0,31860.583527354524,0,3,2,1,1,1,1,9.0,10349.295170667689,2,4,0,1,0,1,1

3,24.0,37356.336994162935,1,3,2,1,1,1,1,10.0,6369.7571606932825,2,4,0,1,0,1,1

2,17.0,25840.122410682954,0,3,2,0,1,1,1,11.0,9496.35444538468,2,4,0,1,0,2,1

1,9.0,27306.74381236038,0,3,2,0,1,1,1,12.0,5938.3062186977695,2,4,0,1,0,2,1

0,0.0,34380.411462147575,0,3,2,0,1,1,1,13.0,13389.561396827285,3,5,0,1,0,2,1

0,0.0,41270.63428319717,1,3,2,0,1,1,1,14.0,12945.389750003218,3,5,0,1,0,2,1

0,0.0,25656.694061560018,1,3,1,0,1,1,1,15.0,16747.04484192525,3,5,0,1,0,2,1

0,0.0,32956.49323723722,3,3,1,0,1,1,1,16.0,12090.193380632485,4,6,0,1,0,2,1

0,0.0,26130.751033432854,3,4,1,0,1,1,1,17.0,10743.765931843947,4,6,0,1,0,2,1

0,0.0,30507.579637403258,4,4,1,0,1,1,1,18.0,7518.141714221305,2,6,0,1,0,2,1

0,0.0,28560.07207133959,3,4,1,0,1,0,2,20.0,12609.732837453059,2,7,0,1,0,2,1

0,0.0,18471.514656306153,4,4,1,0,1,0,2,22.0,9213.488279840609,3,7,0,1,0,2,1

0,0.0,30172.879797439768,4,3,2,0,1,0,3,25.0,15029.603652803879,3,7,0,1,0,2,1

0,0.0,26754.78850213889,4,3,2,0,1,0,3,28.0,19787.337530478744,1,8,0,1,0,2,1

0,0.0,24684.882608146578,4,2,2,0,1,0,4,32.0,17144.640927825978,1,8,0,1,0,2,1

0,0.0,39824.960404580095,3,2,2,0,1,0,5,37.0,18449.185011368496,2,9,1,1,0,2,1

0,0.0,28218.55132886116,4,3,2,0,1,0,6,43.0,26124.313444808893,1,9,1,1,0,2,1

0,0.0,27203.498287264338,4,3,1,0,1,0,6,49.0,35228.53256157736,1,9,1,1,0,2,1

0,0.0,19315.26543075557,4,4,1,0,1,0,7,56.0,17576.26897114767,1,9,1,1,0,2,1

0,0.0,21381.374242430462,4,4,1,0,1,0,7,63.0,22399.06467932488,1,9,1,1,0,2,1

0,0.0,8552.131029725733,5,4,1,0,1,0,8,71.0,20232.83319396876,1,9,1,1,0,2,1

0,0.0,27498.74998724615,4,5,1,0,0,0,9,80.0,22875.224861650506,1,9,1,1,0,2,1

0,0.0,28746.100324483716,4,5,1,0,0,0,9,89.0,30105.971389447783,2,10,1,1,0,2,1

0,0.0,7773.222786578439,4,4,1,1,0,0,10,99.0,30970.976644501636,1,10,1,1,0,2,1

0,0.0,17371.486961640287,4,4,1,1,0,0,10,109.0,30831.59655159731,1,10,1,1,0,2,1

0,0.0,26223.13288790328,3,3,1,1,0,0,11,120.0,46690.40777643552,2,10,2,1,0,2,1

0,0.0,18929.434601045614,4,4,1,1,0,0,13,133.0,54725.561182561294,2,10,2,1,0,2,1

0,0.0,17920.43636510963,4,4,1,1,0,0,13,146.0,30913.545187099116,2,10,2,1,0,2,1

0,0.0,12225.410852429308,3,4,0,1,0,0,13,159.0,46276.65097580277,2,10,2,1,0,2,0

0,0.0,11871.090801436854,3,5,0,1,0,0,13,172.0,30908.630836230906,1,10,2,1,0,2,0

0,0.0,18193.530416527345,4,5,0,1,0,0,13,185.0,33447.07033854794,1,10,2,1,0,2,0

0,0.0,12174.229133114095,4,5,1,1,0,0,14,199.0,33523.15813651793,1,10,2,1,0,2,0

0,0.0,10183.447946626358,3,5,1,1,0,0,14,213.0,33531.02394330941,0,10,2,1,0,2,0

0,0.0,24138.552422994013,4,5,1,1,0,0,14,227.0,38680.44709576394,0,10,2,1,0,2,0

